"x"
"Time"
"t1games"
"t2dayssince_ema"
"roundsleft"
"t1promoted"
"t2promoted"
"t1rank6_attention"
"t2rank6_attention"
"t1rank16_attention"
"t1cards_ema"
"t2cards_ema"
"BW1"
"BW2"
"T2_CUM_T1_GHT"
"T1_CUM_T2_W_GHT"
"T2_CUM_T1_W_GHT"
"T12_CUM_T1_GHT"
"T1_CUM_T1_S"
"T1_CUM_T2_S"
"T12_CUM_T1_S"
"T1221_CUM_S"
"T1_CUM_T1_W_ST"
"T12_CUM_T1_ST"
"T12_CUM_T1_W_ST"
"T1221_CUM_ST"
"T2_CUM_T2_F"
"T1_CUM_T1_W_F"
"T2_CUM_T1_F"
"T2_CUM_T2_C"
"T1_CUM_T1_W_C"
"T2_CUM_T2_W_C"
"T12_CUM_T1_W_C"
"T12_CUM_T12_C"
"T1_CUM_T1_Y"
"T1_CUM_T1_W_Y"
"T2_CUM_T1_Y"
"T21_CUM_T2_Y"
"T12_CUM_T12_W_Y"
"T1221_CUM_W_Y"
"T2_CUM_T2_R"
"T1_CUM_T2_R"
"T2_CUM_T1_R"
"T2_CUM_T1_W_R"
"T2_CUM_T2_xG"
"T1_CUM_T2_xG"
"T2_CUM_T1_xG"
"T2_CUM_T2_GH2"
"T1_CUM_T1_W_Win"
"T2_CUM_T2_W_Loss"
"T2_CUM_T2_HTLoss"
"T1_CUM_T1_W_HTLoss"
"T1_CUM_T1_Draw"
"T1_CUM_T1_W_Draw"
"T2_CUM_T2_W_Draw"
"T1_CUM_T1_HTDraw"
"t1dayssince_ema"
"T1_CUM_T2_GHT"
"T2_CUM_T2_W_ST"
"T21_CUM_T2_ST"
"T1_CUM_T2_F"
"T1_CUM_T1_C"
"T21_CUM_T2_W_C"
"T2_CUM_T2_W_Y"
"T1_CUM_T2_W_R"
"T1_CUM_T1_GH2"
"T2_CUM_T2_HTDraw"
"BW0"
"t1dayssince"
"t2dayssince"
"T1221_CUM_W_ST"
"T1221_CUM_GH2"
"T21_CUM_T2_W_ST"
"T12_CUM_T12_W_ST"
