DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2021-08-03,Europe,Europa League,CUP,2021/2022,Neftçi,HJK,D,2,2,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,11,4,7,49,4,SNV,3,0,9,4,5,51,2,SNV,5,0
2021-08-05,Europe,Europa League,CUP,2021/2022,Rapid Vienna,Anorthosis,H,3,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV,SNV
2021-08-05,Europe,Europa League,CUP,2021/2022,Galatasaray,St. Johnstone,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,5,5,68,6,13,3,1,4,4,0,32,2,21,3,0
2021-08-05,Europe,Europa League,CUP,2021/2022,Omonia Nicosia,Flora,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,11,7,4,57,8,SNV,0,0,8,3,5,43,2,SNV,1,0
2021-08-05,Europe,Europa League,CUP,2021/2022,Jablonec,Celtic,A,2,4,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,16,5,11,38,3,SNV,2,0,16,9,7,62,1,SNV,1,0
2021-08-05,Europe,Europa League,CUP,2021/2022,Kairat,Alashkert,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,5,3,2,50,3,SNV,3,0,6,3,3,50,5,SNV,1,0
2021-08-05,Europe,Europa League,CUP,2021/2022,Lincoln Red Imps,Slovan Bratislava,A,1,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,14,6,8,59,11,SNV,1,0,5,3,2,41,3,SNV,2,0
2021-08-05,Europe,Europa League,CUP,2021/2022,Mura,Žalgiris,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,15,4,11,53,6,11,1,0,17,4,13,47,4,14,3,0
2021-08-10,Europe,Europa League,CUP,2021/2022,Flora,Omonia Nicosia,H,2,1,A,0,1,D,0,0,A,4,5,16,7,9,52,10,27,7,1,15,6,9,48,1,6,4,0
2021-08-10,Europe,Europa League,CUP,2021/2022,Slovan Bratislava,Lincoln Red Imps,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,14,7,7,49,8,13,1,1,5,4,1,51,1,13,3,0
2021-08-12,Europe,Europa League,CUP,2021/2022,Anorthosis,Rapid Vienna,H,2,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,20,9,11,54,7,SNV,5,0,13,4,9,46,4,SNV,5,0
2021-08-12,Europe,Europa League,CUP,2021/2022,Žalgiris,Mura,A,0,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,17,2,15,65,9,SNV,4,0,8,3,5,35,2,SNV,4,0
2021-08-12,Europe,Europa League,CUP,2021/2022,Alashkert,Kairat,H,3,2,D,1,1,D,0,0,N/A,N/A,N/A,24,9,15,66,8,9,4,0,13,4,9,34,3,19,5,2
2021-08-12,Europe,Europa League,CUP,2021/2022,HJK,Neftçi,H,3,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,11,5,6,53,3,SNV,2,0,14,7,7,47,8,SNV,3,0
