DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2021-12-15,Germany,Bundesliga,LEAGUE,2021/2022,Borussia Mönchengladbach,Eintracht Frankfurt,A,2,3,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,21,9,12,58,7,8,2,0,12,4,8,42,1,19,5,1
2021-12-15,Germany,Bundesliga,LEAGUE,2021/2022,Borussia Dortmund,SpVgg Greuther Fürth,H,3,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,13,6,7,68,5,10,2,0,7,2,5,32,8,10,2,0
2021-12-15,Germany,Bundesliga,LEAGUE,2021/2022,FC Augsburg,RB Leipzig,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,10,1,9,31,6,15,2,0,14,4,10,69,8,8,0,0
2021-12-15,Germany,Bundesliga,LEAGUE,2021/2022,FC Union Berlin,SC Freiburg,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,14,3,11,54,4,10,1,0,11,3,8,46,3,13,1,0
2021-12-17,Germany,Bundesliga,LEAGUE,2021/2022,FC Bayern München,VfL Wolfsburg,H,4,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,24,9,15,63,5,10,0,0,9,3,6,37,3,4,0,0
2021-12-18,Germany,Bundesliga,LEAGUE,2021/2022,Eintracht Frankfurt,FSV Mainz 05,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,13,4,9,52,8,11,0,0,13,5,8,48,6,9,1,0
2021-12-18,Germany,Bundesliga,LEAGUE,2021/2022,RB Leipzig,DSC Arminia Bielefeld,A,0,2,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,18,3,15,78,10,6,0,0,4,4,0,22,1,16,2,1
2021-12-18,Germany,Bundesliga,LEAGUE,2021/2022,Hertha BSC,Borussia Dortmund,H,3,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,11,5,6,41,1,4,0,0,13,7,6,59,5,19,1,0
2021-12-18,Germany,Bundesliga,LEAGUE,2021/2022,VfL Bochum 1848,FC Union Berlin,A,0,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,13,3,10,55,1,13,2,0,10,3,7,45,5,9,0,0
2021-12-18,Germany,Bundesliga,LEAGUE,2021/2022,SpVgg Greuther Fürth,FC Augsburg,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,3,1,2,47,6,8,2,0,14,2,12,53,5,13,3,0
2021-12-18,Germany,Bundesliga,LEAGUE,2021/2022,TSG Hoffenheim,Borussia Mönchengladbach,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,24,7,17,60,15,6,2,0,10,5,5,40,3,9,2,0
