"Date","HomeTeam","AwayTeam","ID"
"11/05/19","Hoffenheim","Werder Bremen",33
"11/05/19","Leverkusen","Schalke 04",33
"11/05/19","Dortmund","Fortuna Dusseldorf",33
"11/05/19","RB Leipzig","Bayern Munich",33
"11/05/19","Stuttgart","Wolfsburg",33
"11/05/19","Augsburg","Hertha",33
"11/05/19","Nurnberg","M'gladbach",33
"11/05/19","Hannover","Freiburg",33
"12/05/19","Ein Frankfurt","Mainz",33
