DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2014-08-22,Germany,Bundesliga,LEAGUE,2014/2015,Bayern München,Wolfsburg,H,2,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,17,10,0,60,9,5,0,0,9,4,0,40,3,9,2,0
2014-08-23,Germany,Bundesliga,LEAGUE,2014/2015,Köln,Hamburger SV,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,3,0,46,3,23,2,0,19,4,0,54,6,16,2,0
2014-08-23,Germany,Bundesliga,LEAGUE,2014/2015,Borussia Dortmund,Bayer Leverkusen,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,11,4,0,59,8,13,1,0,11,2,0,41,4,28,2,0
2014-08-23,Germany,Bundesliga,LEAGUE,2014/2015,Hannover 96,Schalke 04,H,2,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,8,3,0,44,2,12,2,0,12,5,0,56,4,15,1,0
2014-08-23,Germany,Bundesliga,LEAGUE,2014/2015,Eintracht Frankfurt,Freiburg,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,10,3,0,36,6,17,1,0,13,6,0,64,5,22,3,0
2014-08-23,Germany,Bundesliga,LEAGUE,2014/2015,Hertha BSC,Werder Bremen,D,2,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,19,5,0,54,9,17,1,0,9,5,0,46,5,18,2,0
2014-08-23,Germany,Bundesliga,LEAGUE,2014/2015,Hoffenheim,Augsburg,H,2,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,11,3,0,43,7,19,2,0,12,2,0,57,3,15,3,0
2014-08-24,Germany,Bundesliga,LEAGUE,2014/2015,Borussia M'gladbach,Stuttgart,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,20,6,0,56,6,8,2,0,7,3,0,44,3,16,1,0
2014-08-24,Germany,Bundesliga,LEAGUE,2014/2015,Paderborn,Mainz 05,D,2,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,10,3,0,39,4,16,2,0,14,4,0,61,3,14,2,0
2014-08-29,Germany,Bundesliga,LEAGUE,2014/2015,Augsburg,Borussia Dortmund,A,2,3,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,12,3,0,54,3,9,2,0,22,9,0,46,6,12,3,0
2014-08-30,Germany,Bundesliga,LEAGUE,2014/2015,Werder Bremen,Hoffenheim,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,15,1,0,50,6,20,3,0,12,1,0,50,6,13,0,0
2014-08-30,Germany,Bundesliga,LEAGUE,2014/2015,Wolfsburg,Eintracht Frankfurt,D,2,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,14,11,0,64,4,19,3,0,8,4,0,36,3,11,1,0
2014-08-30,Germany,Bundesliga,LEAGUE,2014/2015,Stuttgart,Köln,A,0,2,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,14,5,0,68,7,11,1,0,11,5,0,32,4,11,2,0
2014-08-30,Germany,Bundesliga,LEAGUE,2014/2015,Schalke 04,Bayern München,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,8,4,0,35,1,15,4,0,10,4,0,65,3,15,1,0
2014-08-30,Germany,Bundesliga,LEAGUE,2014/2015,Bayer Leverkusen,Hertha BSC,H,4,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,21,7,0,63,5,11,0,0,3,1,0,37,6,20,1,0
2014-08-30,Germany,Bundesliga,LEAGUE,2014/2015,Hamburger SV,Paderborn,A,0,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,13,4,0,65,8,16,0,0,15,7,0,35,3,16,0,0
2014-08-31,Germany,Bundesliga,LEAGUE,2014/2015,Freiburg,Borussia M'gladbach,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,18,4,0,56,4,11,1,0,9,3,0,44,5,13,2,0
2014-08-31,Germany,Bundesliga,LEAGUE,2014/2015,Mainz 05,Hannover 96,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,14,2,0,52,4,12,0,0,11,6,0,48,2,14,1,0
2014-09-12,Germany,Bundesliga,LEAGUE,2014/2015,Bayer Leverkusen,Werder Bremen,D,3,3,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,26,9,0,56,6,14,4,0,8,5,0,44,4,20,2,0
2014-09-13,Germany,Bundesliga,LEAGUE,2014/2015,Paderborn,Köln,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,8,4,0,45,5,13,0,0,4,1,0,55,1,18,2,0
2014-09-13,Germany,Bundesliga,LEAGUE,2014/2015,Borussia Dortmund,Freiburg,H,3,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,15,6,0,62,3,9,1,0,4,3,0,38,5,14,4,0
2014-09-13,Germany,Bundesliga,LEAGUE,2014/2015,Borussia M'gladbach,Schalke 04,H,4,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,23,9,0,46,8,15,2,0,10,6,0,54,2,14,3,0
2014-09-13,Germany,Bundesliga,LEAGUE,2014/2015,Hertha BSC,Mainz 05,A,1,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,17,3,0,53,4,21,3,0,7,6,0,47,1,20,3,0
2014-09-13,Germany,Bundesliga,LEAGUE,2014/2015,Bayern München,Stuttgart,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,14,8,0,67,2,16,1,0,7,0,0,33,4,18,2,0
2014-09-13,Germany,Bundesliga,LEAGUE,2014/2015,Hoffenheim,Wolfsburg,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,15,6,0,45,4,17,1,0,22,5,0,55,7,17,0,1
2014-09-14,Germany,Bundesliga,LEAGUE,2014/2015,Hannover 96,Hamburger SV,H,2,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,11,4,0,53,4,18,3,0,11,0,0,47,2,16,3,0
2014-09-14,Germany,Bundesliga,LEAGUE,2014/2015,Eintracht Frankfurt,Augsburg,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,14,5,0,59,5,14,3,0,17,7,0,41,6,21,4,0
2014-09-19,Germany,Bundesliga,LEAGUE,2014/2015,Freiburg,Hertha BSC,D,2,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,15,5,0,52,7,16,0,0,7,2,0,48,6,26,4,1
2014-09-20,Germany,Bundesliga,LEAGUE,2014/2015,Augsburg,Werder Bremen,H,4,2,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,19,7,0,51,6,13,1,0,13,6,0,49,5,20,4,0
2014-09-20,Germany,Bundesliga,LEAGUE,2014/2015,Mainz 05,Borussia Dortmund,H,2,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,9,5,0,36,1,17,2,0,19,4,0,64,7,18,1,0
2014-09-20,Germany,Bundesliga,LEAGUE,2014/2015,Hamburger SV,Bayern München,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,4,0,0,26,3,23,4,0,16,3,0,74,9,11,2,0
2014-09-20,Germany,Bundesliga,LEAGUE,2014/2015,Paderborn,Hannover 96,H,2,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,18,4,0,40,7,11,1,0,14,2,0,60,5,13,0,0
2014-09-20,Germany,Bundesliga,LEAGUE,2014/2015,Stuttgart,Hoffenheim,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,17,2,0,61,9,17,0,0,10,4,0,39,4,21,2,0
2014-09-20,Germany,Bundesliga,LEAGUE,2014/2015,Schalke 04,Eintracht Frankfurt,D,2,2,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,8,3,0,56,1,15,1,2,15,4,0,44,3,15,2,1
2014-09-21,Germany,Bundesliga,LEAGUE,2014/2015,Wolfsburg,Bayer Leverkusen,H,4,1,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,17,9,0,64,8,9,1,0,12,1,0,36,3,12,1,1
