Date,season,HomeTeam,AwayTeam,FTHG,FTAG,xHG,xAG,pH,pD,pA
2014-09-27 17:30:00,2014,Wolfsburg,Werder Bremen,2,1,1.24302,0.32535,0.6246,0.2844,0.091
2014-09-28 14:30:00,2014,Augsburg,Hertha Berlin,1,0,1.25743,0.283655,0.7081,0.2383,0.0536
2014-09-28 16:30:00,2014,Hamburger SV,Eintracht Frankfurt,1,2,1.09327,0.232889,0.614,0.3133,0.0727
2014-10-03 19:30:00,2014,Hertha Berlin,VfB Stuttgart,3,2,2.36582,1.42919,0.6205,0.2196,0.1599
2014-10-04 14:30:00,2014,Werder Bremen,Freiburg,1,1,1.21503,1.03746,0.3724,0.3224,0.3052
2014-10-04 14:30:00,2014,Bayern Munich,Hannover 96,4,0,2.69879,0.443178,0.8796,0.0937,0.0267
2014-10-04 14:30:00,2014,Borussia Dortmund,Hamburger SV,0,1,1.20017,1.42953,0.2973,0.2783,0.4244
2014-10-04 14:30:00,2014,Bayer Leverkusen,Paderborn,2,2,1.60118,1.12552,0.4817,0.2933,0.225
2014-10-04 14:30:00,2014,Hoffenheim,Schalke 04,2,1,3.2287,0.847395,0.8822,0.0824,0.0354
2014-10-04 17:30:00,2014,Eintracht Frankfurt,FC Cologne,3,2,2.49948,1.12408,0.707,0.1748,0.1182
2014-10-05 14:30:00,2014,Wolfsburg,Augsburg,1,0,0.684001,0.666035,0.3081,0.3911,0.3008
2014-10-05 16:30:00,2014,Borussia M.Gladbach,Mainz 05,1,1,1.66132,1.10201,0.5081,0.3059,0.186
2014-10-18 14:30:00,2014,Bayern Munich,Werder Bremen,6,0,2.49826,0,0.9696,0.0304,0
2014-10-18 14:30:00,2014,Mainz 05,Augsburg,2,1,1.06245,1.03873,0.3417,0.3253,0.333
2014-10-18 14:30:00,2014,Hannover 96,Borussia M.Gladbach,0,3,0.558311,1.61826,0.1003,0.2231,0.6766
2014-10-18 14:30:00,2014,Freiburg,Wolfsburg,1,2,1.00939,1.45969,0.2389,0.2799,0.4812
2014-10-18 14:30:00,2014,VfB Stuttgart,Bayer Leverkusen,3,3,1.30466,1.86824,0.2294,0.2616,0.509
2014-10-18 14:30:00,2014,FC Cologne,Borussia Dortmund,2,1,0.904346,0.825853,0.3672,0.3434,0.2894
2014-10-18 17:30:00,2014,Schalke 04,Hertha Berlin,2,0,0.80457,0.848507,0.3198,0.3605,0.3197
2014-10-19 14:30:00,2014,Hamburger SV,Hoffenheim,1,1,1.82378,1.55868,0.424,0.2864,0.2896
2014-10-19 16:30:00,2014,Paderborn,Eintracht Frankfurt,3,1,2.37575,0.558647,0.8458,0.1156,0.0386
2014-10-24 19:30:00,2014,Werder Bremen,FC Cologne,0,1,0.514564,0.519282,0.2675,0.4587,0.2738
2014-10-25 14:30:00,2014,Eintracht Frankfurt,VfB Stuttgart,4,5,2.97969,3.13433,0.3578,0.2114,0.4308
2014-10-25 14:30:00,2014,Augsburg,Freiburg,2,0,2.2412,0.909372,0.7274,0.1768,0.0958
2014-10-25 14:30:00,2014,Hoffenheim,Paderborn,1,0,1.5035,0.673226,0.6206,0.2623,0.1171
2014-10-25 14:30:00,2014,Hertha Berlin,Hamburger SV,3,0,2.51297,0.784655,0.8329,0.1331,0.034
2014-10-25 14:30:00,2014,Borussia Dortmund,Hannover 96,0,1,1.61946,0.695852,0.6186,0.2457,0.1357
2014-10-25 17:30:00,2014,Bayer Leverkusen,Schalke 04,1,0,0.837202,0.145365,0.5203,0.4158,0.0639
2014-10-26 14:30:00,2014,Wolfsburg,Mainz 05,3,0,4.06466,1.6222,0.8559,0.0904,0.0537
2014-10-26 16:30:00,2014,Borussia M.Gladbach,Bayern Munich,0,0,0.648384,1.2047,0.1842,0.3064,0.5094
2014-10-31 19:30:00,2014,Schalke 04,Augsburg,1,0,1.71186,0.688487,0.6798,0.2196,0.1006
2014-11-01 14:30:00,2014,Mainz 05,Werder Bremen,1,2,1.19297,1.65943,0.2251,0.2716,0.5033
2014-11-01 14:30:00,2014,Hannover 96,Eintracht Frankfurt,1,0,1.11725,0.353128,0.5805,0.3129,0.1066
2014-11-01 14:30:00,2014,VfB Stuttgart,Wolfsburg,0,4,0.924949,2.69946,0.0589,0.1314,0.8097
2014-11-01 14:30:00,2014,Hamburger SV,Bayer Leverkusen,1,0,1.33863,0.426376,0.6818,0.2405,0.0777
2014-11-01 17:30:00,2014,Bayern Munich,Borussia Dortmund,2,1,2.64367,0.942884,0.7832,0.146,0.0708
2014-11-02 14:30:00,2014,Borussia M.Gladbach,Hoffenheim,3,1,2.46276,0.646539,0.829,0.1251,0.0459
2014-11-02 16:30:00,2014,FC Cologne,Freiburg,0,1,0.375065,1.46003,0.0548,0.2071,0.7381
2014-11-02 16:30:00,2014,Paderborn,Hertha Berlin,3,1,1.96835,0.925677,0.6542,0.2133,0.1325
2014-11-07 19:30:00,2014,Hertha Berlin,Hannover 96,0,2,0.363993,1.09164,0.1017,0.3151,0.5832
2014-11-08 14:30:00,2014,Augsburg,Paderborn,3,0,1.66135,0.968616,0.5613,0.2527,0.186
2014-11-08 14:30:00,2014,Hoffenheim,FC Cologne,3,4,1.19994,1.30702,0.2901,0.3221,0.3878
2014-11-08 14:30:00,2014,Bayer Leverkusen,Mainz 05,0,0,2.07319,0.293271,0.8326,0.1359,0.0315
2014-11-08 14:30:00,2014,Eintracht Frankfurt,Bayern Munich,0,4,0.222447,3.03467,0.0011,0.018,0.9809
2014-11-08 14:30:00,2014,Freiburg,Schalke 04,2,0,1.62257,0.526997,0.6822,0.2199,0.0979
2014-11-08 17:30:00,2014,Werder Bremen,VfB Stuttgart,2,0,0.645076,0.774005,0.2541,0.3819,0.364
2014-11-09 14:30:00,2014,Wolfsburg,Hamburger SV,2,0,1.95442,0.488693,0.7732,0.165,0.0618
2014-11-09 16:30:00,2014,Borussia Dortmund,Borussia M.Gladbach,1,0,2.28053,0.0335359,0.9356,0.0626,0.0018
2014-11-22 14:30:00,2014,Bayern Munich,Hoffenheim,4,0,2.08656,1.38014,0.5406,0.2377,0.2217
2014-11-22 14:30:00,2014,Schalke 04,Wolfsburg,3,2,1.12048,1.23361,0.3087,0.3091,0.3822
2014-11-22 14:30:00,2014,Borussia M.Gladbach,Eintracht Frankfurt,1,3,0.595484,1.73996,0.1005,0.2217,0.6778
2014-11-22 14:30:00,2014,Mainz 05,Freiburg,2,2,1.79109,0.691191,0.7034,0.2132,0.0834
2014-11-22 14:30:00,2014,Hannover 96,Bayer Leverkusen,1,3,0.780087,2.36608,0.0686,0.1608,0.7706
2014-11-22 14:30:00,2014,Paderborn,Borussia Dortmund,2,2,0.638364,1.92358,0.0794,0.1856,0.735
2014-11-22 17:30:00,2014,FC Cologne,Hertha Berlin,1,2,1.12625,0.473541,0.5693,0.3,0.1307
2014-11-23 14:30:00,2014,Hamburger SV,Werder Bremen,2,0,2.60596,1.14769,0.7577,0.1609,0.0814
2014-11-23 16:30:00,2014,VfB Stuttgart,Augsburg,0,1,0.382848,2.06226,0.0324,0.1245,0.8431
2014-11-28 19:30:00,2014,Freiburg,VfB Stuttgart,1,4,1.49535,3.36392,0.0765,0.1288,0.7947
