Date,Time,HomeTeam,AwayTeam,BWH,BWD,BWA,DOW
11.09.2021,15:00,SpVgg Greuther Fürth,VfL Wolfsburg,5.25,4.10,1.57,Samstag
11.09.2021,15:30,Bayer Leverkusen,Borussia Dortmund,3.10,3.70,2.10,Samstag
11.09.2021,15:30,1. FC Union Berlin,FC Augsburg,1.67,3.80,4.75,Samstag
11.09.2021,15:30,SC Freiburg,1. FC Köln,2.15,3.50,3.10,Samstag
11.09.2021,15:30,1899 Hoffenheim,1. FSV Mainz 05,2.00,3.60,3.40,Samstag
11.09.2021,18:30,RB Leipzig,FC Bayern München,3.40,4.00,1.90,Samstag
12.09.2021,15:30,Eintracht Frankfurt,VfB Stuttgart,1.90,3.80,3.60,Sonntag
12.09.2021,17:30,VfL Bochum,Hertha BSC,2.95,3.25,2.35,Sonntag
12.09.2021,19:30,Borussia Mönchengladbach,Arminia Bielefeld,1.50,4.33,5.75,Sonntag
