DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2020-09-18,Germany,Bundesliga,LEAGUE,2020/2021,Bayern München,Schalke 04,H,8,0,H,3,0,N/A,N/A,N/A,N/A,N/A,N/A,21,12,6,62,9,11,1,0,5,1,2,38,2,12,2,0
2020-09-19,Germany,Bundesliga,LEAGUE,2020/2021,Werder Bremen,Hertha BSC,A,1,4,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,16,6,7,44,7,12,2,0,13,6,6,56,4,17,0,0
2020-09-19,Germany,Bundesliga,LEAGUE,2020/2021,Stuttgart,Freiburg,A,2,3,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,26,7,10,64,7,12,2,0,7,6,0,36,2,16,2,0
2020-09-19,Germany,Bundesliga,LEAGUE,2020/2021,Borussia Dortmund,Borussia M'gladbach,H,3,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,10,4,3,47,1,10,1,0,9,2,3,53,3,9,1,0
2020-09-19,Germany,Bundesliga,LEAGUE,2020/2021,Union Berlin,Augsburg,A,1,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,15,3,6,58,8,9,2,0,9,5,1,42,1,9,0,0
2020-09-19,Germany,Bundesliga,LEAGUE,2020/2021,Köln,Hoffenheim,A,2,3,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,13,6,6,49,1,11,3,0,13,7,5,51,6,13,4,0
2020-09-19,Germany,Bundesliga,LEAGUE,2020/2021,Eintracht Frankfurt,Arminia Bielefeld,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,18,6,7,62,14,14,2,0,13,4,6,38,3,13,2,0
2020-09-20,Germany,Bundesliga,LEAGUE,2020/2021,Wolfsburg,Bayer Leverkusen,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,9,1,8,40,4,13,1,0,7,3,4,60,4,13,2,0
2020-09-20,Germany,Bundesliga,LEAGUE,2020/2021,RB Leipzig,Mainz 05,H,3,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,27,12,15,72,7,5,1,0,9,2,7,28,5,9,2,0
2020-09-25,Germany,Bundesliga,LEAGUE,2020/2021,Hertha BSC,Eintracht Frankfurt,A,1,3,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,11,5,6,56,4,14,3,0,9,3,6,44,3,15,4,0
2020-09-26,Germany,Bundesliga,LEAGUE,2020/2021,Augsburg,Borussia Dortmund,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,6,2,4,20,3,6,3,0,17,5,12,80,11,8,4,0
2020-09-26,Germany,Bundesliga,LEAGUE,2020/2021,Mainz 05,Stuttgart,A,1,4,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,12,2,10,49,3,12,2,1,15,7,8,51,9,17,4,1
2020-09-26,Germany,Bundesliga,LEAGUE,2020/2021,Schalke 04,Werder Bremen,A,1,3,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,15,5,10,65,8,19,7,1,16,6,10,35,3,14,2,0
2020-09-26,Germany,Bundesliga,LEAGUE,2020/2021,Arminia Bielefeld,Köln,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,8,4,4,47,4,8,3,0,12,3,9,53,7,13,3,0
2020-09-26,Germany,Bundesliga,LEAGUE,2020/2021,Borussia M'gladbach,Union Berlin,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,13,5,8,62,7,10,1,0,13,2,11,38,5,15,2,0
2020-09-26,Germany,Bundesliga,LEAGUE,2020/2021,Bayer Leverkusen,RB Leipzig,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,11,4,7,59,4,16,1,0,7,2,5,41,1,10,3,0
2020-09-27,Germany,Bundesliga,LEAGUE,2020/2021,Freiburg,Wolfsburg,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,17,4,13,53,9,10,0,0,8,3,5,47,1,13,3,0
2020-09-27,Germany,Bundesliga,LEAGUE,2020/2021,Hoffenheim,Bayern München,H,4,1,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,15,7,8,28,3,15,3,0,19,3,16,72,6,12,2,0
2020-10-02,Germany,Bundesliga,LEAGUE,2020/2021,Union Berlin,Mainz 05,H,4,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,12,6,6,50,4,13,1,0,5,0,5,50,2,11,4,0
2020-10-03,Germany,Bundesliga,LEAGUE,2020/2021,Borussia Dortmund,Freiburg,H,4,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,16,7,9,66,3,7,1,0,6,2,4,34,2,9,1,0
2020-10-03,Germany,Bundesliga,LEAGUE,2020/2021,RB Leipzig,Schalke 04,H,4,0,H,3,0,N/A,N/A,N/A,N/A,N/A,N/A,21,7,14,67,8,9,1,0,5,1,4,33,1,5,3,0
2020-10-03,Germany,Bundesliga,LEAGUE,2020/2021,Stuttgart,Bayer Leverkusen,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,12,2,10,47,7,5,3,0,16,6,10,53,12,9,2,0
2020-10-03,Germany,Bundesliga,LEAGUE,2020/2021,Eintracht Frankfurt,Hoffenheim,H,2,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,16,7,9,51,5,10,2,0,13,5,8,49,7,3,3,0
2020-10-03,Germany,Bundesliga,LEAGUE,2020/2021,Köln,Borussia M'gladbach,A,1,3,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,8,2,6,40,4,7,3,0,15,10,5,60,10,9,3,0
2020-10-03,Germany,Bundesliga,LEAGUE,2020/2021,Werder Bremen,Arminia Bielefeld,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,9,3,6,36,2,12,2,0,11,4,7,64,1,16,2,0
2020-10-04,Germany,Bundesliga,LEAGUE,2020/2021,Wolfsburg,Augsburg,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,16,4,12,64,12,7,0,0,8,1,7,36,2,14,1,0
2020-10-04,Germany,Bundesliga,LEAGUE,2020/2021,Bayern München,Hertha BSC,H,4,3,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,23,10,13,67,6,10,3,0,10,5,5,33,1,18,3,0
2020-10-17,Germany,Bundesliga,LEAGUE,2020/2021,Freiburg,Werder Bremen,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,18,4,14,62,4,10,3,0,12,3,9,38,4,14,3,0
2020-10-17,Germany,Bundesliga,LEAGUE,2020/2021,Hoffenheim,Borussia Dortmund,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,9,3,6,45,4,13,1,0,17,4,13,55,6,11,1,0
2020-10-17,Germany,Bundesliga,LEAGUE,2020/2021,Mainz 05,Bayer Leverkusen,A,0,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,6,0,6,38,6,14,3,0,9,4,5,62,2,7,1,0
2020-10-17,Germany,Bundesliga,LEAGUE,2020/2021,Augsburg,RB Leipzig,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,7,2,5,32,5,10,0,0,17,5,12,68,8,13,1,0
2020-10-17,Germany,Bundesliga,LEAGUE,2020/2021,Hertha BSC,Stuttgart,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,15,4,11,63,6,13,2,0,10,4,6,37,4,10,2,0
2020-10-17,Germany,Bundesliga,LEAGUE,2020/2021,Borussia M'gladbach,Wolfsburg,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,2,10,48,5,15,2,0,11,5,6,52,4,13,2,0
2020-10-17,Germany,Bundesliga,LEAGUE,2020/2021,Arminia Bielefeld,Bayern München,A,1,4,A,0,3,N/A,N/A,N/A,N/A,N/A,N/A,12,6,6,33,6,5,1,0,17,8,9,67,10,6,0,1
2020-10-18,Germany,Bundesliga,LEAGUE,2020/2021,Schalke 04,Union Berlin,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,7,4,3,53,5,8,3,0,12,7,5,47,7,13,1,0
2020-10-18,Germany,Bundesliga,LEAGUE,2020/2021,Köln,Eintracht Frankfurt,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,8,4,4,40,2,16,3,0,16,3,13,60,8,16,2,0
2020-10-23,Germany,Bundesliga,LEAGUE,2020/2021,Stuttgart,Köln,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,12,4,8,58,3,10,2,0,15,4,11,42,5,13,5,0
2020-10-24,Germany,Bundesliga,LEAGUE,2020/2021,Union Berlin,Freiburg,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,18,6,12,50,4,9,1,0,7,4,3,50,2,14,4,0
2020-10-24,Germany,Bundesliga,LEAGUE,2020/2021,RB Leipzig,Hertha BSC,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,24,8,16,67,7,9,1,0,9,2,7,33,3,19,4,1
2020-10-24,Germany,Bundesliga,LEAGUE,2020/2021,Borussia Dortmund,Schalke 04,H,3,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,20,8,12,74,7,6,0,0,3,0,3,26,2,15,1,0
2020-10-24,Germany,Bundesliga,LEAGUE,2020/2021,Bayern München,Eintracht Frankfurt,H,5,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,19,9,10,60,10,10,3,0,9,3,6,40,3,12,0,0
2020-10-24,Germany,Bundesliga,LEAGUE,2020/2021,Mainz 05,Borussia M'gladbach,A,2,3,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,12,7,5,40,3,18,5,0,22,9,13,60,7,11,3,0
2020-10-25,Germany,Bundesliga,LEAGUE,2020/2021,Wolfsburg,Arminia Bielefeld,H,2,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,14,5,9,48,4,13,2,0,8,1,7,52,3,10,1,0
2020-10-25,Germany,Bundesliga,LEAGUE,2020/2021,Werder Bremen,Hoffenheim,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,5,2,3,49,1,11,2,0,16,7,9,51,4,23,2,0
2020-10-26,Germany,Bundesliga,LEAGUE,2020/2021,Bayer Leverkusen,Augsburg,H,3,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,17,8,9,65,3,14,1,0,6,3,3,35,3,8,2,0
2020-10-30,Germany,Bundesliga,LEAGUE,2020/2021,Schalke 04,Stuttgart,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,10,2,8,46,3,11,2,0,19,8,11,54,4,14,2,0
2020-10-31,Germany,Bundesliga,LEAGUE,2020/2021,Eintracht Frankfurt,Werder Bremen,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,15,6,9,72,5,9,1,0,10,3,7,28,3,10,3,0
2020-10-31,Germany,Bundesliga,LEAGUE,2020/2021,Augsburg,Mainz 05,H,3,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,11,6,5,49,4,11,5,0,9,4,5,51,1,10,1,0
2020-10-31,Germany,Bundesliga,LEAGUE,2020/2021,Borussia M'gladbach,RB Leipzig,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,7,4,3,49,2,13,2,0,15,4,11,51,4,17,4,0
2020-10-31,Germany,Bundesliga,LEAGUE,2020/2021,Köln,Bayern München,A,1,2,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,10,2,8,37,5,11,1,0,8,4,4,63,1,13,2,0
2020-10-31,Germany,Bundesliga,LEAGUE,2020/2021,Arminia Bielefeld,Borussia Dortmund,A,0,2,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,3,1,2,25,0,13,1,0,20,10,10,75,12,13,1,0
2020-11-01,Germany,Bundesliga,LEAGUE,2020/2021,Hertha BSC,Wolfsburg,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,20,5,15,52,8,8,3,0,11,4,7,48,6,15,1,0
2020-11-01,Germany,Bundesliga,LEAGUE,2020/2021,Freiburg,Bayer Leverkusen,A,2,4,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,8,5,3,40,4,10,2,0,20,8,12,60,6,11,2,0
2020-11-02,Germany,Bundesliga,LEAGUE,2020/2021,Hoffenheim,Union Berlin,A,1,3,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,3,7,60,3,18,1,1,10,6,4,40,6,13,2,0
2020-11-06,Germany,Bundesliga,LEAGUE,2020/2021,Werder Bremen,Köln,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,18,3,15,67,1,20,2,0,8,1,7,33,3,20,2,0
2020-11-07,Germany,Bundesliga,LEAGUE,2020/2021,Augsburg,Hertha BSC,A,0,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,9,2,7,47,2,11,3,0,10,6,4,53,6,10,0,0
2020-11-07,Germany,Bundesliga,LEAGUE,2020/2021,Mainz 05,Schalke 04,D,2,2,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,13,7,6,32,4,18,1,0,19,3,16,68,9,12,1,0
2020-11-07,Germany,Bundesliga,LEAGUE,2020/2021,Stuttgart,Eintracht Frankfurt,D,2,2,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,16,5,11,39,10,14,2,0,17,7,10,61,8,16,4,0
2020-11-07,Germany,Bundesliga,LEAGUE,2020/2021,Borussia Dortmund,Bayern München,A,2,3,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,10,5,5,51,4,15,2,0,13,7,6,49,3,7,2,0
2020-11-07,Germany,Bundesliga,LEAGUE,2020/2021,RB Leipzig,Freiburg,H,3,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,15,6,9,57,3,14,2,0,8,3,5,43,4,13,3,0
2020-11-07,Germany,Bundesliga,LEAGUE,2020/2021,Union Berlin,Arminia Bielefeld,H,5,0,H,3,0,N/A,N/A,N/A,N/A,N/A,N/A,11,8,3,51,5,17,0,0,6,1,5,49,1,9,1,0
2020-11-08,Germany,Bundesliga,LEAGUE,2020/2021,Bayer Leverkusen,Borussia M'gladbach,H,4,3,D,2,2,N/A,N/A,N/A,N/A,N/A,N/A,14,4,10,59,6,15,4,0,13,6,7,41,2,12,2,0
2020-11-08,Germany,Bundesliga,LEAGUE,2020/2021,Wolfsburg,Hoffenheim,H,2,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,9,5,4,46,3,4,1,0,8,3,5,54,7,7,3,0
2020-11-21,Germany,Bundesliga,LEAGUE,2020/2021,Arminia Bielefeld,Bayer Leverkusen,A,1,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,30,0,6,0,0,7,3,4,70,10,10,1,0
2020-11-21,Germany,Bundesliga,LEAGUE,2020/2021,Bayern München,Werder Bremen,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,18,4,14,70,7,9,1,0,11,6,5,30,3,9,3,0
2020-11-21,Germany,Bundesliga,LEAGUE,2020/2021,Hoffenheim,Stuttgart,D,3,3,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,12,8,4,42,3,16,3,0,21,10,11,58,4,19,2,0
2020-11-21,Germany,Bundesliga,LEAGUE,2020/2021,Eintracht Frankfurt,RB Leipzig,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,8,2,6,37,5,18,3,0,9,3,6,63,6,12,2,0
2020-11-21,Germany,Bundesliga,LEAGUE,2020/2021,Borussia M'gladbach,Augsburg,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,13,4,9,52,2,6,1,0,11,5,6,48,1,10,4,1
2020-11-21,Germany,Bundesliga,LEAGUE,2020/2021,Hertha BSC,Borussia Dortmund,A,2,5,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,10,4,6,40,4,13,1,0,16,8,8,60,3,17,1,0
2020-11-21,Germany,Bundesliga,LEAGUE,2020/2021,Schalke 04,Wolfsburg,A,0,2,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,13,7,6,41,6,10,0,0,23,10,13,59,4,11,1,0
2020-11-22,Germany,Bundesliga,LEAGUE,2020/2021,Freiburg,Mainz 05,A,1,3,A,0,3,N/A,N/A,N/A,N/A,N/A,N/A,20,5,15,71,9,6,0,0,20,7,13,29,4,13,1,0
2020-11-22,Germany,Bundesliga,LEAGUE,2020/2021,Köln,Union Berlin,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,10,3,7,49,5,12,1,0,8,2,6,51,4,16,2,0
2020-11-27,Germany,Bundesliga,LEAGUE,2020/2021,Wolfsburg,Werder Bremen,H,5,3,H,3,2,N/A,N/A,N/A,N/A,N/A,N/A,12,6,6,61,0,12,2,0,5,4,1,39,5,12,3,1
2020-11-28,Germany,Bundesliga,LEAGUE,2020/2021,Stuttgart,Bayern München,A,1,3,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,16,5,11,42,4,12,0,0,13,6,7,58,3,10,0,0
2020-11-28,Germany,Bundesliga,LEAGUE,2020/2021,Borussia M'gladbach,Schalke 04,H,4,1,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,14,8,6,56,5,8,2,0,13,2,11,44,4,12,3,0
2020-11-28,Germany,Bundesliga,LEAGUE,2020/2021,Union Berlin,Eintracht Frankfurt,D,3,3,D,2,2,N/A,N/A,N/A,N/A,N/A,N/A,13,6,7,44,4,13,2,0,11,4,7,56,5,15,3,0
2020-11-28,Germany,Bundesliga,LEAGUE,2020/2021,RB Leipzig,Arminia Bielefeld,H,2,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,14,5,9,58,6,13,2,0,10,2,8,42,7,15,2,0
2020-11-28,Germany,Bundesliga,LEAGUE,2020/2021,Augsburg,Freiburg,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,2,8,59,4,12,3,0,8,5,3,41,1,9,1,0
2020-11-28,Germany,Bundesliga,LEAGUE,2020/2021,Borussia Dortmund,Köln,A,1,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,10,3,7,69,6,11,1,0,5,4,1,31,2,10,2,0
2020-11-29,Germany,Bundesliga,LEAGUE,2020/2021,Bayer Leverkusen,Hertha BSC,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,14,2,12,58,6,14,2,0,5,3,2,42,1,18,1,0
2020-11-29,Germany,Bundesliga,LEAGUE,2020/2021,Mainz 05,Hoffenheim,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,12,4,8,35,11,16,0,0,10,4,6,65,5,10,0,1
2020-12-04,Germany,Bundesliga,LEAGUE,2020/2021,Hertha BSC,Union Berlin,H,3,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,9,6,3,68,9,15,1,0,5,1,4,32,2,10,3,1
2020-12-05,Germany,Bundesliga,LEAGUE,2020/2021,Freiburg,Borussia M'gladbach,D,2,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,27,9,18,39,5,11,1,0,12,4,8,61,5,19,2,0
2020-12-05,Germany,Bundesliga,LEAGUE,2020/2021,Arminia Bielefeld,Mainz 05,H,2,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,11,5,6,48,2,17,3,0,13,4,9,52,3,16,2,0
2020-12-05,Germany,Bundesliga,LEAGUE,2020/2021,Eintracht Frankfurt,Borussia Dortmund,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,9,1,8,42,6,13,6,0,17,5,12,58,5,5,1,0
2020-12-05,Germany,Bundesliga,LEAGUE,2020/2021,Bayern München,RB Leipzig,D,3,3,D,2,2,N/A,N/A,N/A,N/A,N/A,N/A,10,6,4,61,10,5,0,0,7,4,3,39,2,8,1,0
2020-12-05,Germany,Bundesliga,LEAGUE,2020/2021,Köln,Wolfsburg,D,2,2,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,7,4,3,39,3,12,0,0,14,6,8,61,8,11,1,0
2020-12-06,Germany,Bundesliga,LEAGUE,2020/2021,Schalke 04,Bayer Leverkusen,A,0,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,14,3,11,35,2,16,2,0,26,10,16,65,8,11,3,0
2020-12-06,Germany,Bundesliga,LEAGUE,2020/2021,Werder Bremen,Stuttgart,A,1,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,12,2,10,53,2,10,4,0,12,7,5,47,4,15,4,0
2020-12-07,Germany,Bundesliga,LEAGUE,2020/2021,Hoffenheim,Augsburg,H,3,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,10,7,3,55,4,15,0,0,13,2,11,45,3,10,1,0
2020-12-11,Germany,Bundesliga,LEAGUE,2020/2021,Wolfsburg,Eintracht Frankfurt,H,2,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,17,7,10,54,8,10,5,0,7,4,3,46,1,12,2,0
2020-12-12,Germany,Bundesliga,LEAGUE,2020/2021,Borussia Dortmund,Stuttgart,A,1,5,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,11,4,7,71,8,9,2,0,18,10,8,29,2,13,3,0
2020-12-12,Germany,Bundesliga,LEAGUE,2020/2021,Union Berlin,Bayern München,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,11,5,6,32,4,17,3,0,13,5,8,68,7,8,2,0
2020-12-12,Germany,Bundesliga,LEAGUE,2020/2021,Borussia M'gladbach,Hertha BSC,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,17,4,13,55,13,9,3,0,8,3,5,45,2,18,2,0
2020-12-12,Germany,Bundesliga,LEAGUE,2020/2021,Mainz 05,Köln,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,14,4,10,60,5,15,4,0,9,6,3,40,3,9,4,1
2020-12-12,Germany,Bundesliga,LEAGUE,2020/2021,RB Leipzig,Werder Bremen,H,2,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,16,8,8,55,1,17,3,0,10,2,8,45,6,9,1,0
2020-12-12,Germany,Bundesliga,LEAGUE,2020/2021,Freiburg,Arminia Bielefeld,H,2,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,16,7,9,47,5,17,3,0,6,2,4,53,4,14,0,0
2020-12-13,Germany,Bundesliga,LEAGUE,2020/2021,Bayer Leverkusen,Hoffenheim,H,4,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,13,8,5,60,6,12,3,0,10,3,7,40,5,13,6,2
2020-12-13,Germany,Bundesliga,LEAGUE,2020/2021,Augsburg,Schalke 04,D,2,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,9,4,5,40,2,17,3,1,15,4,11,60,3,13,4,0
2020-12-15,Germany,Bundesliga,LEAGUE,2020/2021,Stuttgart,Union Berlin,D,2,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,14,5,9,62,2,14,3,0,15,4,11,38,3,13,3,0
2020-12-15,Germany,Bundesliga,LEAGUE,2020/2021,Eintracht Frankfurt,Borussia M'gladbach,D,3,3,H,3,1,N/A,N/A,N/A,N/A,N/A,N/A,12,5,7,39,4,18,6,1,8,4,4,61,5,13,4,0
2020-12-15,Germany,Bundesliga,LEAGUE,2020/2021,Werder Bremen,Borussia Dortmund,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,8,3,5,45,4,9,3,0,12,7,5,55,4,9,2,0
2020-12-15,Germany,Bundesliga,LEAGUE,2020/2021,Hertha BSC,Mainz 05,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,11,1,10,64,5,17,3,0,5,0,5,36,4,11,1,0
2020-12-16,Germany,Bundesliga,LEAGUE,2020/2021,Arminia Bielefeld,Augsburg,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,2,10,48,1,13,1,0,12,4,8,52,3,18,2,0
2020-12-16,Germany,Bundesliga,LEAGUE,2020/2021,Schalke 04,Freiburg,A,0,2,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,8,2,6,54,2,15,2,0,14,5,9,46,3,9,1,0
2020-12-16,Germany,Bundesliga,LEAGUE,2020/2021,Bayern München,Wolfsburg,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,12,3,9,58,7,14,3,0,14,3,11,42,7,14,1,0
2020-12-16,Germany,Bundesliga,LEAGUE,2020/2021,Köln,Bayer Leverkusen,A,0,4,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,5,0,5,33,2,9,1,0,13,6,7,67,6,13,1,0
2020-12-16,Germany,Bundesliga,LEAGUE,2020/2021,Hoffenheim,RB Leipzig,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,8,4,4,44,5,16,2,0,3,2,1,56,5,14,0,0
2020-12-18,Germany,Bundesliga,LEAGUE,2020/2021,Union Berlin,Borussia Dortmund,H,2,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,11,5,6,29,8,9,1,0,17,4,13,71,6,7,1,0
2020-12-19,Germany,Bundesliga,LEAGUE,2020/2021,Augsburg,Eintracht Frankfurt,A,0,2,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,15,4,11,45,2,9,1,0,16,6,10,55,4,10,4,0
2020-12-19,Germany,Bundesliga,LEAGUE,2020/2021,Mainz 05,Werder Bremen,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,8,1,7,43,2,14,2,0,13,5,8,57,5,9,2,0
2020-12-19,Germany,Bundesliga,LEAGUE,2020/2021,Schalke 04,Arminia Bielefeld,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,10,3,7,45,1,16,6,0,8,3,5,55,6,15,5,0
2020-12-19,Germany,Bundesliga,LEAGUE,2020/2021,Borussia M'gladbach,Hoffenheim,A,1,2,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,18,5,13,47,3,15,1,1,17,5,12,53,3,20,3,0
2020-12-19,Germany,Bundesliga,LEAGUE,2020/2021,Bayer Leverkusen,Bayern München,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,7,3,4,50,5,13,1,0,15,3,12,50,7,6,1,0
2020-12-19,Germany,Bundesliga,LEAGUE,2020/2021,RB Leipzig,Köln,D,0,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,20,6,14,64,8,12,1,0,3,0,3,36,2,8,0,0
2020-12-20,Germany,Bundesliga,LEAGUE,2020/2021,Wolfsburg,Stuttgart,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,14,5,9,47,4,15,2,0,11,3,8,53,6,7,3,0
